Pose: [[0.9801048399648288, 0.0681328395625106, 0.1864200065729709, -1.417747682799652], [-0.08207837748624916, 0.9942942502712031, 0.0681328395625106, -0.3795501220775604], [-0.18071425684417405, -0.08207837748624916, 0.9801048399648288, -0.20887384139982598], [0.0, 0.0, 0.0, 1.0]]; theta_Rho: [[-0.1788450926542282, 3.445096015930176]]; s_p: [[3.2808516025543213, 0.5931013226509094, 0.8677146434783936]]; w_p: [[2.0, 0.0, 0.0]]
Pose: [[0.9800797667886567, 0.03687447797918887, 0.19515102768177947, -1.2289169224465901], [-0.044902747001344126, 0.9983105810245105, 0.03687447797918887, -0.2228382539870446], [-0.1934616087062899, -0.044902747001344126, 0.9800797667886567, -0.11445846122329503], [0.0, 0.0, 0.0, 1.0]]; theta_Rho: [[-0.10697793960571289, 3.2386205196380615]]; s_p: [[3.132446765899658, 0.33638691902160645, 0.7505218982696533]]; w_p: [[2.0, 0.0, 0.0]]
Pose: [[0.9800668321814688, 0.004962289168458185, 0.19860609291758718, -1.030959966784706], [-0.006068644873287132, 0.9999692731457355, 0.004962289168458185, -0.030945125360792906], [-0.19857536606332266, -0.006068644873287132, 0.9800668321814688, -0.015479983392352976], [0.0, 0.0, 0.0, 1.0]]; theta_Rho: [[-0.015464347787201405, 3.0311574935913086]]; s_p: [[2.9672815799713135, 0.04589073359966278, 0.6172921061515808]]; w_p: [[2.0, 0.0, 0.0]]
Pose: [[0.9800738820881308, -0.02703538321210624, 0.19678484114198233, -0.8317687349469406], [0.032988263090180284, 0.999090017242124, -0.02703538321210624, 0.16583355813833245], [-0.19587485838410632, 0.032988263090180284, 0.9800738820881308, 0.08411563252652969], [0.0, 0.0, 0.0, 1.0]]; theta_Rho: [[0.08770864456892014, 2.837867259979248]]; s_p: [[2.7863481044769287, -0.24501542747020721, 0.47929298877716064]]; w_p: [[2.0, 0.0, 0.0]]
Pose: [[0.9800966401385156, -0.05856012075542905, 0.18968734340040352, -0.6392843527623837], [0.07083016306243185, 0.9957679449840002, -0.05856012075542905, 0.3364307691566513], [-0.18545528838440375, 0.07083016306243185, 0.9800966401385156, 0.18035782361880814], [0.0, 0.0, 0.0, 1.0]]; theta_Rho: [[0.19111572206020355, 2.6667463779449463]]; s_p: [[2.596372604370117, -0.5023385882377625, 0.3435721695423126]]; w_p: [[2.0, 0.0, 0.0]]
Pose: [[0.9801213016184267, -0.08900035150780458, 0.17731658564637517, -0.4611805651291395], [0.10603245287601146, 0.9903716758715304, -0.08900035150780458, 0.45391295916683433], [-0.16768826151790558, 0.10603245287601146, 0.9801213016184267, 0.26940971743543024], [0.0, 0.0, 0.0, 1.0]]; theta_Rho: [[0.28166648745536804, 2.5171468257904053]]; s_p: [[2.4093029499053955, -0.6971546411514282, 0.2127523422241211]]; w_p: [[2.0, 0.0, 0.0]]
Pose: [[0.9801329071956164, -0.11763690745675877, 0.15969045756174402, -0.30455780802114185], [0.1372111088546476, 0.9835317328947186, -0.11763690745675877, 0.4997322735653476], [-0.1432221904564626, 0.1372111088546476, 0.9801329071956164, 0.3477210959894291], [0.0, 0.0, 0.0, 1.0]]; theta_Rho: [[0.347101092338562, 2.3836166858673096]]; s_p: [[2.2400054931640625, -0.8103147745132446, 0.08598995953798294]]; w_p: [[2.0, 0.0, 0.0]]
Pose: [[0.9801244170694619, -0.1436059616299096, 0.13687021169193975, -0.1756601365125947], [0.1630713148090063, 0.9761071017418175, -0.1436059616299096, 0.466654850084016], [-0.11297731343375728, 0.1630713148090063, 0.9801244170694619, 0.41216993174370264], [0.0, 0.0, 0.0, 1.0]]; theta_Rho: [[0.3780450224876404, 2.2629952430725098]]; s_p: [[2.1028854846954346, -0.8351559638977051, -0.03918033093214035]]; w_p: [[2.0, 0.0, 0.0]]
Pose: [[0.9801009812467933, -0.1658859866161897, 0.10901332947601537, -0.0796262940064193], [0.18247749785303136, 0.9691149582075753, -0.1658859866161897, 0.35990288658396286], [-0.0781282876835906, 0.18247749785303136, 0.9801009812467933, 0.46018685299679035], [0.0, 0.0, 0.0, 1.0]]; theta_Rho: [[0.3694414794445038, 2.1601266860961914]]; s_p: [[2.0085232257843018, -0.7777418494224548, -0.16461975872516632]]; w_p: [[2.0, 0.0, 0.0]]
Pose: [[0.980076815595797, -0.1833143997017302, 0.07645434188845396, -0.020284846751021712], [0.19453525825663853, 0.9636139601297904, -0.1833143997017302, 0.19633017083905527], [-0.04006830201824435, 0.19453525825663853, 0.980076815595797, 0.48985757662448914], [0.0, 0.0, 0.0, 1.0]]; theta_Rho: [[0.3222118020057678, 2.0880749225616455]]; s_p: [[1.9614689350128174, -0.6548283696174622, -0.2896483540534973]]; w_p: [[2.0, 0.0, 0.0]]
Pose: [[0.9800665786651268, -0.194640299600172, 0.03980772733010762, -1.5509857087536716e-06], [0.19866901445589738, 0.9605445208144585, -0.194640299600172, 0.001761238027593601], [-0.00035224814456615364, 0.19866901445589738, 0.9800665786651268, 0.4999992245071456], [0.0, 0.0, 0.0, 1.0]]; theta_Rho: [[0.2451307773590088, 2.0615549087524414]]; s_p: [[1.9599609375, -0.4903070032596588, -0.4100742042064667]]; w_p: [[2.0, 0.0, 0.0]]
Pose: [[0.980076480027568, -0.1986204614983846, 7.46387362743732e-05, -0.019585037705002306], [0.19467777326976546, 0.9605469675496845, -0.1986204614983846, -0.19308575554231314], [0.0393783937140412, 0.19467777326976546, 0.980076480027568, 0.49020748114749885], [0.0, 0.0, 0.0, 1.0]]; theta_Rho: [[0.15449103713035583, 2.087177276611328]]; s_p: [[1.997633695602417, -0.3110954761505127, -0.5186408758163452]]; w_p: [[2.0, 0.0, 0.0]]
Pose: [[0.9801005136611962, -0.19416289407058573, -0.04127655129966308, -0.07825457509267009], [0.18275563007253431, 0.9637951806493563, -0.19416289407058573, -0.35744875388279906], [0.0774813706503067, 0.18275563007253431, 0.9801005136611962, 0.46087271245366496], [0.0, 0.0, 0.0, 1.0]]; theta_Rho: [[0.06920389086008072, 2.1585447788238525]]; s_p: [[2.0665152072906494, -0.14323961734771729, -0.6068880558013916]]; w_p: [[2.0, 0.0, 0.0]]
Pose: [[0.9801241010976646, -0.1805123184720919, -0.08229246215374195, -0.17367119383549756], [0.16347196350923296, 0.9698928910071802, -0.1805123184720919, -0.46537845357046026], [0.11239957114656168, 0.16347196350923296, 0.9801241010976646, 0.4131644030822512], [0.0, 0.0, 0.0, 1.0]]; theta_Rho: [[0.003957181237637997, 2.2610015869140625]]; s_p: [[2.160104274749756, -0.008547969162464142, -0.6678357124328613]]; w_p: [[2.0, 0.0, 0.0]]
Pose: [[0.9801329345021937, -0.15745469040352983, -0.12061281513192061, -0.30203093444876095], [0.137716190349098, 0.9778764090546717, -0.15745469040352983, -0.4998351281834764], [0.14273640607724894, 0.137716190349098, 0.9801329345021937, 0.3489845327756195], [0.0, 0.0, 0.0, 1.0]]; theta_Rho: [[-0.03437749296426773, 2.381380319595337]]; s_p: [[2.2753188610076904, 0.07825059443712234, -0.6984070539474487]]; w_p: [[2.0, 0.0, 0.0]]
Pose: [[0.9801216556395377, -0.12549844262360524, -0.1536609288188161, -0.4582164991367951], [0.10662035810675302, 0.9863479305682339, -0.12549844262360524, -0.4553788264340131], [0.16731299825058227, 0.10662035810675302, 0.9801216556395377, 0.27089175043160246], [0.0, 0.0, 0.0, 1.0]]; theta_Rho: [[-0.04629780724644661, 2.5146729946136475]]; s_p: [[2.4125802516937256, 0.11177704483270645, -0.7003880143165588]]; w_p: [[2.0, 0.0, 0.0]]
Pose: [[0.9800971061293842, -0.08597805252252834, -0.17893416957428795, -0.6360012623075393], [0.07147713811569216, 0.9937297385160735, -0.08597805252252834, -0.33902822086289053], [0.18520443105821457, 0.07147713811569216, 0.9800971061293842, 0.18199936884623036], [0.0, 0.0, 0.0, 1.0]]; theta_Rho: [[-0.03776486590504646, 2.663938283920288]]; s_p: [[2.5740628242492676, 0.09725537896156311, -0.6791967153549194]]; w_p: [[2.0, 0.0, 0.0]]
Pose: [[0.9800741773850057, -0.04103063143632532, -0.19434786879984303, -0.8282975064856399], [0.03366947218899678, 0.9985904335244009, -0.04103063143632532, -0.16915251377200005], [0.19575743527544218, 0.03366947218899678, 0.9800741773850057, 0.08585124675718006], [0.0, 0.0, 0.0, 1.0]]; theta_Rho: [[-0.01810006983578205, 2.8346517086029053]]; s_p: [[2.7608306407928467, 0.04997668415307999, -0.6407546401023865]]; w_p: [[2.0, 0.0, 0.0]]
Pose: [[0.9800667776615453, 0.006577517415872078, -0.1985594308733762, -1.027438987241606], [-0.005378461954188639, 0.9999639035543488, 0.006577517415872078, 0.027428655917037376], [0.19859552731902727, -0.005378461954188639, 0.9800667776615453, -0.013719493620803045], [0.0, 0.0, 0.0, 1.0]]; theta_Rho: [[0.002555049490183592, 3.0275943279266357]]; s_p: [[2.9699645042419434, -0.007588422857224941, -0.5878609418869019]]; w_p: [[2.0, 0.0, 0.0]]
Pose: [[0.9800793955229139, 0.05375603888069257, -0.19119274765350594, -1.225486562164981], [-0.04422893456636499, 0.9975741023257279, 0.05375603888069257, 0.21967944393821967], [0.19361864532777814, -0.04422893456636499, 0.9800793955229139, -0.1127432810824905], [0.0, 0.0, 0.0, 1.0]]; theta_Rho: [[0.015891922637820244, 3.234924077987671]]; s_p: [[3.1927783489227295, -0.05074365809559822, -0.51800137758255]]; w_p: [[2.0, 0.0, 0.0]]
Pose: [[0.9801043771577715, 0.09746758184727297, -0.17290309530202705, -1.4145446994188335], [-0.08144611774163377, 0.9919004992405545, 0.09746758184727297, 0.3772476780744418], [0.18100259606147265, -0.08144611774163377, 0.9801043771577715, -0.20727234970941677], [0.0, 0.0, 0.0, 1.0]]; theta_Rho: [[0.01706094853579998, 3.441568374633789]]; s_p: [[3.4148523807525635, -0.05826627463102341, -0.42400622367858887]]; w_p: [[2.0, 0.0, 0.0]]
Pose: [[0.9801265690498597, 0.13509291596336423, -0.14526462989684027, -1.5870762476783056], [-0.1156135907541647, 0.9840647345014677, 0.13509291596336423, 0.47525679876683863], [0.1611998953953727, -0.1156135907541647, 0.9801265690498597, -0.2935381238391528], [0.0, 0.0, 0.0, 1.0]]; theta_Rho: [[0.0047074309550225735, 3.630309820175171]]; s_p: [[3.6180531978607178, -0.01703186146914959, -0.29757460951805115]]; w_p: [[2.0, 0.0, 0.0]]
